PERMNO,date,TICKER,RET,RETX
86453,29/07/2020,XLY,0.010146,0.010146
86453,30/07/2020,XLY,-0.000806,-0.000806
86453,31/07/2020,XLY,0.005210,0.005210
86453,03/08/2020,XLY,-0.002117,-0.002117
86453,04/08/2020,XLY,0.008046,0.008046
86453,05/08/2020,XLY,0.012191,0.012191
86453,06/08/2020,XLY,0.004875,0.004875
86453,07/08/2020,XLY,0.001498,0.001498
86453,10/08/2020,XLY,0.011967,0.011967
86453,11/08/2020,XLY,-0.001971,-0.001971
86453,12/08/2020,XLY,0.013260,0.013260
86453,13/08/2020,XLY,-0.000418,-0.000418
86453,14/08/2020,XLY,-0.000070,-0.000070
86453,17/08/2020,XLY,0.012884,0.012884
86453,18/08/2020,XLY,0.006188,0.006188
86453,19/08/2020,XLY,-0.004715,-0.004715
86453,20/08/2020,XLY,-0.001510,-0.001510
86453,21/08/2020,XLY,0.005157,0.005157
86453,24/08/2020,XLY,0.015187,0.015187
86453,25/08/2020,XLY,0.003302,0.003302
86453,26/08/2020,XLY,0.009873,0.009873
86453,27/08/2020,XLY,-0.005387,-0.005387
86453,28/08/2020,XLY,0.006553,0.006553
86453,31/08/2020,XLY,-0.002923,-0.002923
86453,01/09/2020,XLY,0.010460,0.010460
86453,02/09/2020,XLY,0.013847,0.013847
86453,03/09/2020,XLY,-0.031738,-0.031738
86453,04/09/2020,XLY,-0.011553,-0.011553
86453,08/09/2020,XLY,-0.013115,-0.013115
86453,09/09/2020,XLY,0.018867,0.018867
86453,10/09/2020,XLY,-0.014327,-0.014327
86453,11/09/2020,XLY,0.001508,0.001508
86453,14/09/2020,XLY,0.010611,0.010611
86453,15/09/2020,XLY,0.008197,0.008197
86453,16/09/2020,XLY,-0.005577,-0.005577
86453,17/09/2020,XLY,-0.014054,-0.014054
86453,18/09/2020,XLY,-0.013912,-0.013912
86453,21/09/2020,XLY,-0.014417,-0.016540
86453,22/09/2020,XLY,0.021129,0.021129
86453,23/09/2020,XLY,-0.016401,-0.016401
86453,24/09/2020,XLY,-0.000422,-0.000422
86453,25/09/2020,XLY,0.013022,0.013022
86453,28/09/2020,XLY,0.020914,0.020914
86453,29/09/2020,XLY,-0.007759,-0.007759
86453,30/09/2020,XLY,0.008162,0.008162
86453,01/10/2020,XLY,0.013063,0.013063
86453,02/10/2020,XLY,-0.004231,-0.004231
86453,05/10/2020,XLY,0.013219,0.013219
86453,06/10/2020,XLY,-0.018505,-0.018505
86453,07/10/2020,XLY,0.022855,0.022855
86453,08/10/2020,XLY,0.006564,0.006564
86453,09/10/2020,XLY,0.010408,0.010408
86453,12/10/2020,XLY,0.013299,0.013299
